state	seat
Alabama	694,140
Alaska	741,894
American Samoa	0
Arizona	758,674
Arkansas	744,551
California	738,581
Colorado	779,511
Connecticut	718,177
Delaware	952,065
DistrictofColumbia	0
Florida	750,788
Georgia	729,633
Guam	0
Hawaii	715,802
Idaho	827,465
Illinois	714,444
Indiana	735,520
Iowa	780,975
JohnstonAtoll	0
Kansas	727,910
Kentucky	737,515
Louisiana	778,454
Maine	664,664
Maryland	750,800
Massachusetts	754,936
Michigan	708,755
MidwayAtoll	0
Minnesota	686,199
Mississippi	748,083
Missouri	760,459
Montana	1,032,949
Nebraska	632,063
Nevada	722,711
NewHampshire	665,304
NewJersey	746,501
NewMexico	695,036
NewYork	733,177
NorthCarolina	772,523
NorthDakota	756,927
NorthernMarianaIslands	0
Ohio	725,839
Oklahoma	782,268
Oregon	805,795
PalmyraAtoll	0
Pennsylvania	711,250
PuertoRico	0
RhodeIsland	528,149
SouthCarolina	699,449
SouthDakota	858,469
Tennessee	733,367
Texas	763,031
U.S.VirginIslands	0
Utah	748,083
Vermont	626,042
Virginia	762,090
WakeIsland	0
Washington	717,035
WestVirginia	614,709
Wisconsin	721,417
Wyoming	586,107
